attack,threshold_method,threshold,tpr,fpr,fnr,precision,f1,tn,fp,fn,tp,auc,eer
Active Wiretap,mean,0.6110140818930537,0.48368962409663613,0.4800830159488125,0.5163103759033638,0.41699155371491803,0.44787099550123083,676138,624335,476666,446550,0.42463214529412785,0.5063775003946729
Active Wiretap,min,0.0024746630471165825,1.0,0.9999992310490107,0.0,0.4151733516572469,0.5867455759692701,1,1300472,0,923216,0.42463214529412785,0.5063775003946729
Active Wiretap,max,26.942428930521913,2.166340271399109e-06,0.0,0.9999978336597286,1.0,4.332671156758209e-06,1300473,0,923214,2,0.42463214529412785,0.5063775003946729
Active Wiretap,max+std,27.196972514727022,0.0,0.0,1.0,0.0,0.0,1300473,0,923216,0,0.42463214529412785,0.5063775003946729
Active Wiretap,mean+3sigma,1.3746448345083806,1.0831701356995545e-05,8.458460883078695e-06,0.999989168298643,0.47619047619047616,2.1662909957031617e-05,1300462,11,923206,10,0.42463214529412785,0.5063775003946729
Active Wiretap,median+1.5MAD,0.9638342625487941,1.0831701356995545e-05,8.458460883078695e-06,0.999989168298643,0.47619047619047616,2.1662909957031617e-05,1300462,11,923206,10,0.42463214529412785,0.5063775003946729
Active Wiretap,p95,0.870538048161173,1.408121176409421e-05,0.04786796803932108,0.999985918788236,0.00020878838494153926,2.638308235580631e-05,1238222,62251,923203,13,0.42463214529412785,0.5063775003946729
Active Wiretap,p99,0.8773499534897287,1.408121176409421e-05,0.009574208768655713,0.999985918788236,0.0010430038510911425,2.7787277701778382e-05,1288022,12451,923203,13,0.42463214529412785,0.5063775003946729
SYN DoS,mean,0.3677449781195284,0.9752770673486786,0.49217455240181923,0.024722932651321416,0.005121310291416284,0.010189116171362408,1375820,1333418,174,6864,0.7077874268639522,0.27152146873167504
SYN DoS,min,0.003584092136163906,1.0,0.999999630892524,0.0,0.0025910484026838224,0.00516870444197931,1,2709237,0,7038,0.7077874268639522,0.27152146873167504
SYN DoS,max,0.6579889711502926,0.0007104290991759022,0.007508015168840833,0.999289570900824,0.0002457485500835545,0.00036517674554484373,2688897,20341,7033,5,0.7077874268639522,0.27152146873167504
SYN DoS,max+std,0.8035893929155956,0.0007104290991759022,3.6910747597663994e-06,0.999289570900824,0.3333333333333333,0.001417836381681554,2709228,10,7033,5,0.7077874268639522,0.27152146873167504
SYN DoS,mean+3sigma,0.8045462434154373,0.0007104290991759022,3.6910747597663994e-06,0.999289570900824,0.3333333333333333,0.001417836381681554,2709228,10,7033,5,0.7077874268639522,0.27152146873167504
SYN DoS,median+1.5MAD,0.5618056394272919,0.0007104290991759022,0.04370158694068221,0.999289570900824,4.222865974679696e-05,7.97187522420899e-05,2590840,118398,7033,5,0.7077874268639522,0.27152146873167504
SYN DoS,p95,0.5481446489935459,0.0007104290991759022,0.06295091092033996,0.999289570900824,2.931622829133295e-05,5.630884274066399e-05,2538689,170549,7033,5,0.7077874268639522,0.27152146873167504
SYN DoS,p99,0.6021075112576785,0.0007104290991759022,0.024149963938199598,0.999289570900824,7.641404184432932e-05,0.00013798622897434837,2643810,65428,7033,5,0.7077874268639522,0.27152146873167504
Video Injection,mean,690.6775455069143,0.0,6.220565708613151e-05,1.0,0.0,0.0,2314758,144,102499,0,0.48408791515014754,0.5440425366946737
