fpr,tpr,threshold
0.629400,0.985663,0.003831
0.631183,0.985763,0.003823
0.632817,0.985883,0.003814
0.635850,0.985977,0.003805
0.638450,0.986083,0.003797
0.640133,0.986200,0.003787
0.641733,0.986307,0.003778
0.643133,0.986417,0.003769
0.644933,0.986527,0.003757
0.646267,0.986630,0.003748
0.648033,0.986723,0.003739
0.649833,0.986840,0.003729
0.652017,0.986980,0.003715
0.653550,0.987100,0.003708
0.654833,0.987210,0.003701
0.656767,0.987330,0.003691
0.659117,0.987437,0.003684
0.661267,0.987523,0.003679
0.663117,0.987617,0.003674
0.665867,0.987727,0.003666
0.670133,0.987830,0.003653
0.673183,0.987913,0.003643
0.675550,0.988040,0.003632
0.677583,0.988147,0.003622
0.680267,0.988240,0.003610
0.682533,0.988350,0.003600
0.684000,0.988480,0.003592
0.686033,0.988587,0.003586
0.689367,0.988683,0.003581
0.695000,0.988770,0.003575
0.697517,0.988860,0.003567
0.699617,0.988960,0.003556
0.701550,0.989077,0.003546
0.703717,0.989237,0.003534
0.705817,0.989347,0.003522
0.707600,0.989450,0.003511
0.709483,0.989563,0.003500
0.710850,0.989677,0.003492
0.712867,0.989783,0.003481
0.714900,0.989883,0.003469
0.717400,0.989980,0.003456
0.718933,0.990100,0.003448
0.720783,0.990213,0.003439
0.722550,0.990313,0.003429
0.725150,0.990407,0.003417
0.727800,0.990500,0.003405
0.730017,0.990607,0.003395
0.732450,0.990720,0.003386
0.734833,0.990817,0.003377
0.737767,0.990917,0.003367
0.739800,0.991017,0.003359
0.741917,0.991127,0.003351
0.744150,0.991240,0.003343
0.745950,0.991357,0.003331
0.747567,0.991487,0.003320
0.749133,0.991657,0.003311
0.751600,0.991760,0.003301
0.753633,0.991857,0.003292
0.755283,0.991960,0.003283
0.756983,0.992073,0.003274
0.758933,0.992173,0.003265
0.762117,0.992280,0.003255
0.764967,0.992383,0.003246
0.767633,0.992493,0.003237
0.770433,0.992673,0.003229
0.772150,0.992773,0.003223
0.773850,0.992880,0.003216
0.775633,0.992990,0.003208
0.777783,0.993097,0.003200
0.779800,0.993207,0.003191
0.781617,0.993310,0.003184
0.784450,0.993430,0.003173
0.787233,0.993537,0.003162
0.790833,0.993630,0.003154
0.794033,0.993733,0.003147
0.796400,0.993833,0.003139
0.797700,0.993947,0.003134
0.800100,0.994053,0.003126
0.802950,0.994150,0.003119
0.805450,0.994250,0.003111
0.808233,0.994357,0.003102
0.810183,0.994473,0.003096
0.811700,0.994590,0.003090
0.813583,0.994693,0.003084
0.816867,0.994783,0.003076
0.819833,0.994873,0.003071
0.822633,0.994967,0.003065
0.825533,0.995053,0.003059
0.828483,0.995137,0.003053
0.831917,0.995247,0.003047
0.834700,0.995343,0.003040
0.836750,0.995437,0.003032
0.838817,0.995530,0.003023
0.842700,0.995620,0.003013
0.845517,0.995723,0.003003
0.847750,0.995847,0.002996
0.851400,0.995953,0.002985
0.853933,0.996057,0.002974
0.857000,0.996177,0.002964
0.858867,0.996327,0.002955
0.860350,0.996430,0.002947
0.862867,0.996530,0.002934
0.864667,0.996637,0.002925
0.866400,0.996727,0.002916
0.868000,0.996847,0.002908
0.870717,0.996937,0.002895
0.872783,0.997030,0.002884
0.876067,0.997123,0.002870
0.878850,0.997217,0.002856
0.882267,0.997317,0.002843
0.887617,0.997400,0.002828
0.893400,0.997487,0.002817
0.904800,0.997577,0.002805
0.909333,0.997667,0.002792
0.912167,0.997770,0.002779
0.914200,0.997867,0.002770
0.916883,0.997957,0.002758
0.920100,0.998050,0.002742
0.923100,0.998143,0.002728
0.927000,0.998247,0.002711
0.929883,0.998340,0.002685
0.931900,0.998453,0.002660
0.934000,0.998557,0.002632
0.936050,0.998677,0.002608
0.937750,0.998773,0.002587
0.940483,0.998877,0.002556
0.944683,0.998973,0.002531
0.952417,0.999083,0.002509
0.961383,0.999180,0.002476
0.965250,0.999280,0.002455
0.968600,0.999380,0.002423
0.979317,0.999463,0.002400
0.981717,0.999567,0.002358
0.985783,0.999660,0.002301
0.992800,0.999750,0.002237
0.996050,0.999843,0.002146
0.997850,0.999930,0.002009
1.000000,1.000000,0.001194
